en-CA;ESDPVS2020ML;220769;PVB_2020;159.99;;;;;;;
da-DK;ESDPVS2020ML;220769;PVB_2020;1,098;;;;;;;
de-DE;ESDPVS2020ML;220769;PVB_2020;139,99;;;;;;;
de-LI;ESDPVS2020ML;220769;PVB_2020;159.95;;;;;;;
en-AU;ESDPVS2020ML;220769;PVB_2020;239;;;;;;;
en-GB;ESDPVS2020ML;220769;PVB_2020;139.99;;;;;;;
en-IE;ESDPVS2020ML;220769;PVB_2020;139.99;;;;;;;
en-MY;ESDPVS2020ML;220769;PVB_2020;670;;;;;;;
en-NZ;ESDPVS2020ML;220769;PVB_2020;269;;;;;;;
en-SG;ESDPVS2020ML;220769;PVB_2020;199;;;;;;;
en-US;ESDPVS2020ML;220769;PVB_2020;159.99;;;;;;;
en-ZA;ESDPVS2020ML;220769;PVB_2020;2 200;;;;;;;
es-ES;ESDPVS2020ML;220769;PVB_2020;139,99;;;;;;;
es-MX;ESDPVS2020ML;220769;PVB_2020;3,800;;;;;;;
fr-FR;ESDPVS2020ML;220769;PVB_2020;139,99;;;;;;;
it-IT;ESDPVS2020ML;220769;PVB_2020;139,99;;;;;;;
ja-JP;ESDPVS2020ML;220769;PVB_2020;23,480;;;;;;;
ko-KR;ESDPVS2020ML;220769;PVB_2020;176,000;;;;;;;
nb-NO;ESDPVS2020ML;220769;PVB_2020;1,198;;;;;;;
nl-NL;ESDPVS2020ML;220769;PVB_2020;139,99;;;;;;;
pl-PL;ESDPVS2020ML;220769;PVB_2020;599;;;;;;;
pt-BR;ESDPVS2020ML;220769;PVB_2020;619;;;;;;;
se-SE;ESDPVS2020ML;220769;PVB_2020;1,499;;;;;;;
zh-HK;ESDPVS2020ML;220769;PVB_2020;1,240;;;;;;;
zh-TW;ESDPVS2020ML;220769;PVB_2020;6,400;;;;;;;
en-RW;ESDPVS2020ML;220769;PVB_2020;159.99;;;;;;;
