en-CA;ESDVS2019PRML;205839;VSP PRO 2018;79.99;39.99;;50%;-50%;($40)
en-CA;ESDVS2019PRMLUG;205840;VSP PRO 2018;59.99;29.99;;50%;-50%;($30)
de-DE;ESDVS2019PRML;205839;VSP PRO 2018;69,99;48,99;;30 %;-30%;($21)
de-DE;ESDVS2019PRMLUG;205840;VSP PRO 2018;49,99;34,99;;30 %;-30%;($15)
en-AU;ESDVS2019PRML;205839;VSP PRO 2018;99;69;;30%;-30%;($30)
en-AU;ESDVS2019PRMLUG;205840;VSP PRO 2018;79;55;;30%;-30%;($24)
en-GB;ESDVS2019PRML;205839;VSP PRO 2018;69.99;48.99;;30%;-30%;($21)
en-GB;ESDVS2019PRMLUG;205840;VSP PRO 2018;49.99;34.99;;30%;-30%;($15)
en-US;ESDVS2019PRML;205839;VSP PRO 2018;79.99;39.99;;50%;-50%;($40)
en-US;ESDVS2019PRMLUG;205840;VSP PRO 2018;59.99;29.99;;50%;-50%;($30)
fr-FR;ESDVS2019PRML;205839;VSP PRO 2018;69,99;48,99;;30 %;-30%;($21)
fr-FR;ESDVS2019PRMLUG;205840;VSP PRO 2018;49,99;34,99;;30 %;-30%;($15)
ja-JP;ESDVS2019PRML;205839;VSP PRO 2018;13,824;9,680;;30%;-30%;($4,148)
ja-JP;ESDVS2019PRMLUG;205840;VSP PRO 2018;7,538;5,280;;30%;-30%;($2,262)
pt-BR;ESDVS2019PRML;205839;VSP PRO 2018;159;111;;30%;-30%;($48)
