da-DK;ESDPSP2020ML;220765;PSP_2020_PRO;549;384;;30%;-30%;-$165
da-DK;ESDPSP2020MLUG;220766;PSP_2020_PRO;399;279;;30%;-30%;-$120
de-DE;ESDPSP2020ML;220765;PSP_2020_PRO;69,99;48,99;;30 %;-30%;-$21
de-DE;ESDPSP2020MLUG;220766;PSP_2020_PRO;49,99;34,99;;30 %;-30%;-$15
de-LI;ESDPSP2020ML;220765;PSP_2020_PRO;79.95;55.95;;30%;-30%;-$24
de-LI;ESDPSP2020MLUG;220766;PSP_2020_PRO;59.95;41.95;;30%;-30%;-$18
en-AU;ESDPSP2020ML;220765;PSP_2020_PRO;119;83;;30%;-30%;-$36
en-AU;ESDPSP2020MLUG;220766;PSP_2020_PRO;89;62;;30%;-30%;-$27
en-CA;ESDPSP2020ML;220765;PSP_2020_PRO;79.99;39.99;;50%;-50%;-$40
en-CA;ESDPSP2020MLUG;220766;PSP_2020_PRO;59.99;29.99;;50%;-50%;-$30
en-GB;ESDPSP2020ML;220765;PSP_2020_PRO;69.99;48.99;;30%;-30%;-$21
en-GB;ESDPSP2020MLUG;220766;PSP_2020_PRO;49.99;34.99;;30%;-30%;-$15
en-NZ;ESDPSP2020ML;220765;PSP_2020_PRO;134;93;;30%;-31%;-$41
en-NZ;ESDPSP2020MLUG;220766;PSP_2020_PRO;99;69;;30%;-30%;-$30
en-SG;ESDPSP2020ML;220765;PSP_2020_PRO;99;69;;30%;-30%;-$30
en-SG;ESDPSP2020MLUG;220766;PSP_2020_PRO;79;55;;30%;-30%;-$24
en-US;ESDPSP2020ML;220765;PSP_2020_PRO;79.99;39.99;;50%;-50%;-$40
en-US;ESDPSP2020MLUG;220766;PSP_2020_PRO;59.99;29.99;;50%;-50%;-$30
es-ES;ESDPSP2020ML;220765;PSP_2020_PRO;69,99;48,99;;30%;-30%;-$21
es-ES;ESDPSP2020MLUG;220766;PSP_2020_PRO;49,99;34,99;;30%;-30%;-$15
es-MX;ESDPSP2020ML;220765;PSP_2020_PRO;1,900;1,330;;30%;-30%;-$570
es-MX;ESDPSP2020MLUG;220766;PSP_2020_PRO;1,400;980;;30%;-30%;-$420
fr-FR;ESDPSP2020ML;220765;PSP_2020_PRO;69,99;48,99;;30 %;-30%;-$21
fr-FR;ESDPSP2020MLUG;220766;PSP_2020_PRO;49,99;34,99;;30 %;-30%;-$15
it-IT;ESDPSP2020ML;220765;PSP_2020_PRO;69,99;48,99;;30%;-30%;-$21
it-IT;ESDPSP2020MLUG;220766;PSP_2020_PRO;49,99;34,99;;30%;-30%;-$15
ja-JP;ESDPSP2020ML;220765;PSP_2020_PRO;9,680;6,780;;30%;-30%;-$2,900
ja-JP;ESDPSP2020MLUG;220766;PSP_2020_PRO;6,480;4,480;;30%;-31%;-$2,000
ko-KR;ESDPSP2020ML;220765;PSP_2020_PRO;88,000;61,600;;30%;-30%;-$26,400
ko-KR;ESDPSP2020MLUG;220766;PSP_2020_PRO;67,000;46,900;;30%;-30%;-$20,100
nb-NO;ESDPSP2020ML;220765;PSP_2020_PRO;599;419;;30%;-30%;-$180
nb-NO;ESDPSP2020MLUG;220766;PSP_2020_PRO;429;300;;30%;-30%;-$129
nl-NL;ESDPSP2020ML;220765;PSP_2020_PRO;69,99;48,99;;30%;-30%;-$21
nl-NL;ESDPSP2020MLUG;220766;PSP_2020_PRO;49,99;34,99;;30%;-30%;-$15
pl-PL;ESDPSP2020ML;220765;PSP_2020_PRO;299;209;;30%;-30%;-$90
pl-PL;ESDPSP2020MLUG;220766;PSP_2020_PRO;229;160;;30%;-30%;-$69
pt-BR;ESDPSP2020ML;220765;PSP_2020_PRO;309;216;;30%;-30%;-$93
pt-BR;ESDPSP2020MLUG;220766;PSP_2020_PRO;229;160;;30%;-30%;-$69
se-SE;ESDPSP2020ML;220765;PSP_2020_PRO;769;538;;30%;-30%;-$231
se-SE;ESDPSP2020MLUG;220766;PSP_2020_PRO;539;377;;30%;-30%;-$162
zh-HK;ESDPSP2020ML;220765;PSP_2020_PRO;620;434;;30%;-30%;-$186
zh-HK;ESDPSP2020MLUG;220766;PSP_2020_PRO;470;329;;30%;-30%;-$141
zh-TW;ESDPSP2020ML;220765;PSP_2020_PRO;3,200;2,240;;30%;-30%;-$960
zh-TW;ESDPSP2020MLUG;220766;PSP_2020_PRO;2,600;1,820;;30%;-30%;-$780
en-RW;ESDPSP2020ML;220765;PSP_2020_PRO;79.99;39.99;;50%;-50%;-$40
en-RW;ESDPSP2020MLUG;220766;PSP_2020_PRO;59.99;29.99;;50%;-50%;-$30
