da-DK;ESDCPDFF1EN;140602;OL_PDF01;375;262;;30%;-30%;($113)
de-LI;ESDCPDFF1EN;140602;OL_PDF01;55.95;39;;30%;-30%;($17)
en-AU;ESDCPDFF1EN;140602;OL_PDF01;69.95;48.95;;30%;-30%;($21)
en-CA;ESDCPDFF1EN;140602;OL_PDF01;69.99;37.99;;CA$ 30;-46%;($32)
en-GB;ESDCPDFF1EN;140602;OL_PDF01;44.99;29.99;;30%;-33%;($15)
en-IE;ESDCPDFF1EN;140602;OL_PDF01;50;34.99;;30%;-30%;($15)
en-NZ;ESDCPDFF1EN;140602;OL_PDF01;79.95;55.95;;30%;-30%;($24)
en-US;ESDCPDFF1EN;140602;OL_PDF01;69.99;37.99;;$30;-46%;($32)
en-ZA;ESDCPDFF1EN;140602;OL_PDF01;649;454;;30%;-30%;($195)
ja-JP;ESDCPDFF1EN;140602;OL_PDF01;8,300;5,810;;30%;-30%;($2,490)
nb-NO;ESDCPDFF1EN;140602;OL_PDF01;410;287;;30%;-30%;($123)
pt-BR;ESDCPDFF1EN;295667700;OL_PDF01;220;154;;30%;-30%;($66)
se-SE;ESDCPDFF1EN;140602;OL_PDF01;439.99;307;;30%;-30%;($133)
