de-DE;ESDVS2018ULML;188323;VSP ULT X10;89,99;57,99;;35 %;-36%;-$32
de-DE;ESDVS2018ULMLUG;188324;VSP ULT X10;69,99;44,99;;35 %;-36%;-$25
en-AU;ESDVS2018ULML;188323;VSP ULT X10;129;83;;35%;-36%;-$46
en-AU;ESDVS2018ULMLUG;188324;VSP ULT X10;99;64;;35%;-35%;-$35
en-CA;ESDVS2018ULML;188323;VSP ULT X10;99.99;64.99;;35%;-35%;-$35
en-CA;ESDVS2018ULMLUG;188324;VSP ULT X10;79.99;51.99;;35%;-35%;-$28
en-GB;ESDVS2018ULML;188323;VSP ULT X10;89.99;57.99;;35%;-36%;-$32
en-GB;ESDVS2018ULMLUG;188324;VSP ULT X10;69.99;44.99;;35%;-36%;-$25
en-US;ESDVS2018ULML;188323;VSP ULT X10;99.99;64.99;;35%;-35%;-$35
en-US;ESDVS2018ULMLUG;188324;VSP ULT X10;79.99;51.99;;35%;-35%;-$28
fr-FR;ESDVS2018ULML;188323;VSP ULT X10;89,99;57,99;;35 %;-36%;-$32
fr-FR;ESDVS2018ULMLUG;188324;VSP ULT X10;69,99;44,99;;35 %;-36%;-$25
ja-JP;ESDVS2018ULML;188323;VSP ULT X10;18,144;11,793;;35%;-35%;-$6,351
ja-JP;ESDVS2018ULMLUG;188324;VSP ULT X10;13,824;8,985;;35%;-35%;-$4,839
